"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","1uF","","","","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder",""
"C4,C5,C6","3","100nF","","","","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder",""
"C7","1","1nF/1005","","","","Capacitor_SMD:C_01005_0402Metric_Pad0.57x0.30mm_HandSolder",""
"C8,C9,C10,C11,C12","5","10uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"C?,C?","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"C?,C?","2","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"CR1","1","SLVU2.8HTG","","","","SOT23_LTF","SLVU2.8HTG"
"D1","1","RCLAMP01211ZCFT","","","","RCLAMP01211ZCFT","https://semtech.my.salesforce.com/sfc/dist/version/download/?oid=00DE0000000JelG&ids=0683n00000SM6RmAAL&d=/a/3n000000qSo3/qRTnyDdhcZt.yFlod52QcBu8HyHFKZBQcMOCrfPi_wo&operationContext=DELIVERY&asPdf=true&viewId=05HRQ000004vfx12AA&dpt="
"L1,L2,L3","3","MPZ1608S221A","","","","IND_MPZ1608_TDK","MPZ1608S221A"
"R1,R2,R3,R4,R5","5","10K","","","","RES_0603",""
"U1","1","K4A8G085WC-BCPB","","","","DDR4_DRAM_DIMM:K4A8G085WC-BCPB",""
"U2","1","","","","","DDR4_DRAM_DIMM:DIMM_Connector_288Pin",""
"U3","1","TPS51200AQDRCTQ1","","","","DRC0010J","https://www.ti.com/lit/gpn/tps51200a-q1"
